ID	ATX1-TAG-rep2	ATX2-TAG-rep2	ATX3-TAG-rep2	ATX4-TAG-rep2	ATX5-TAG-rep2	ATXR3-TAG-rep2	ATXR7-TAG-rep2	WT-rep2	
AT1G03320	4.9175	5.88051	4.9555	3.34434	3.623	2.86021	5.29117	3.32309	
AT1G03330	5.01206	4.66982	3.89068	2.74877	2.95963	3.19671	4.55987	3.85056	
AT1G03340	3.30985	3.02673	6.51177	4.58128	3.01066	3.74351	4.47384	2.90111	
AT1G03350	2.08048	2.7673	2.17059	2.24483	1.22467	3.36495	2.02183	1.79341	
AT1G03360	4.35009	8.0857	12.0406	4.71872	3.52094	3.11258	4.64591	3.0066	
AT1G03365	4.06639	4.92925	4.9555	1.7867	3.46991	3.23877	3.05425	2.58462	
AT1G03370	1.22937	4.92925	2.58013	2.70296	1.12262	2.22928	2.88218	1.95165	
AT1G03380	3.68812	5.36164	3.35827	4.07734	6.1744	4.92124	6.02247	2.05715	
AT1G03390	2.6006	4.71305	3.68591	2.84039	5.15384	4.71093	4.60289	2.26814	
AT1G03400	2.8843	6.13994	4.62786	5.26847	4.64356	4.4165	5.24815	3.05935	
AT1G03410	2.8843	3.93475	4.505	2.93202	2.19421	2.01897	3.31236	3.63957	
AT1G03420	4.30281	4.3239	8.47759	3.25271	5.30692	6.72991	1.72071	2.37363	
AT1G03430	2.0332	3.89151	3.27636	2.93202	4.64356	3.5332	4.08668	2.37363	
AT1G03440	2.64788	2.85378	2.66204	3.2069	1.53084	3.74351	1.50562	3.27034	
AT1G03445	3.87726	3.11321	3.23541	3.84828	1.32673	4.29031	1.59165	3.85056	
AT1G03457	3.07344	2.72406	3.44018	3.02365	4.74561	2.69196	3.57047	2.32089	
AT1G03470	0.709254	3.02673	3.64495	3.52759	3.31683	2.27134	2.36597	2.69012	
AT1G03475	4.01911	4.28066	3.93163	3.66503	2.44935	4.62681	7.18395	3.37583	
AT1G03490	3.21529	2.72406	2.45727	4.07734	4.23533	3.07052	3.57047	5.48573	
AT1G03495	4.72836	8.82076	5.44695	6.04729	3.31683	5.2998	6.45265	4.0088	
AT1G03510	1.98591	5.40488	5.28313	3.61921	1.07159	3.70145	3.09727	3.53408	
AT1G03520	4.49194	6.35614	6.51177	2.84039	3.77608	4.4165	3.26934	3.69232	
AT1G03530	4.06639	4.5401	4.30022	3.61921	1.6329	3.95382	4.17271	2.37363	
AT1G03540	4.20824	5.96699	4.62786	3.11527	4.08225	5.04743	6.28058	3.32309	
AT1G03545	5.91045	4.75629	4.99645	4.94778	4.08225	4.50062	3.18331	1.47693	
AT1G03550	4.16096	5.5346	4.62786	3.34434	4.08225	5.00537	6.02247	3.37583	
AT1G03560	3.26257	5.83727	6.71654	6.23054	5.97029	3.44908	3.74254	2.95385	
AT1G03580	4.11368	6.52909	2.53918	3.02365	1.6329	5.17361	5.20514	5.16925	
AT1G03590	4.20824	6.35614	2.04773	2.79458	1.6329	4.96331	4.90401	5.38023	
AT1G03600	3.68812	2.89702	3.35827	2.56552	3.36786	7.0664	2.15088	4.48353	
AT1G03610	2.3169	2.63758	2.703	3.2069	3.01066	4.29031	6.62472	2.79561	
AT1G03620	2.74245	2.89702	3.68591	3.2069	1.93907	3.32289	1.76372	1.31869	
AT1G03630	2.69517	4.79953	7.12609	3.89409	1.58187	2.1031	3.22632	2.21539	
AT1G03650	2.50603	4.75629	4.17736	2.93202	3.87814	2.27134	2.15088	2.32089	
AT1G03660	4.9175	4.41038	8.88713	4.67291	5.20487	5.00537	4.55987	4.90551	
AT1G03670	3.30985	5.01573	3.80877	4.35222	4.84767	4.24825	3.74254	5.22199	
AT1G03680	4.30281	4.62658	5.8565	4.81035	5.91926	3.82763	5.63531	2.95385	
