ID	ATX1-TAG-rep2	ATX2-TAG-rep2	ATX3-TAG-rep2	ATX4-TAG-rep2	ATX5-TAG-rep2	ATXR3-TAG-rep2	ATXR7-TAG-rep2	WT-rep2	
AT1G03310	31.349	41.1203	32.6408	23.3187	19.901	25.826	24.391	20.8352
AT1G03320	6.80884	9.16668	7.7404	7.23843	6.02132	5.80454	8.81862	5.59122
AT1G03325	1.56036	2.03223	1.84295	2.19902	1.88804	2.1031	1.59165	1.95165
AT1G03330	13.1448	16.4741	16.218	11.6823	13.4204	11.6091	9.54992	10.866
AT1G03340	16.3129	23.2626	15.1122	14.2478	11.9916	14.8058	14.8411	12.1319
AT1G03350	19.1499	23.0896	24.5727	13.7438	10.971	21.5778	12.3891	10.3912
AT1G03360	19.339	27.0244	32.3131	16.3094	11.2772	14.3852	14.2819	13.9781
AT1G03365	31.0181	45.3577	38.702	24.1892	29.3412	26.8355	33.9839	25.3715
AT1G03370	39.1981	64.7288	49.3092	37.5207	27.4531	38.3605	37.5114	26.9012
AT1G03380	38.2997	67.7988	52.8723	39.5365	31.1271	41.8095	46.287	30.5935
AT1G03390	9.45673	16.3876	12.6549	11.9571	10.7159	12.4503	14.712	7.70112
AT1G03395	4.53923	8.04246	6.22509	4.6271	2.39832	5.08949	6.15152	3.53408
AT1G03400	9.31487	20.0629	19.2896	14.935	12.5529	14.7637	15.7875	11.1297
AT1G03410	17.2112	26.3758	31.7807	23.2729	20.5643	30.9996	22.1541	21.3627
AT1G03420	5.7686	8.99372	14.375	7.28424	11.0731	16.278	5.63531	5.85496
AT1G03430	16.3601	18.5063	17.6924	12.5985	15.4105	15.3105	12.8193	9.91651
AT1G03440	16.5493	21.6628	35.4666	19.7453	20.6154	26.3308	11.5287	14.1363
AT1G03445	38.2997	36.8829	37.9648	37.1542	28.3206	35.332	32.8655	29.644
AT1G03457	22.0342	29.3593	23.7946	27.4877	31.3313	24.6903	24.391	17.8814
AT1G03470	15.178	18.8955	19.5763	17.5921	14.492	13.586	13.7656	10.9715
AT1G03475	21.8923	28.3648	28.0538	18.5542	14.8492	27.2141	24.0469	15.5077
AT1G03490	9.07846	9.16668	7.33086	9.80394	8.82786	9.25362	10.5393	9.91651
AT1G03495	10.3551	14.1824	11.9997	9.84976	7.04188	9.29568	12.6472	10.5495
AT1G03502	1.79678	3.15645	1.43341	1.7867	0.81645	1.09361	1.80674	0.791211
AT1G03506	1.13481	2.59434	2.21154	1.87833	3.21477	1.30392	0.516212	0.791211
AT1G03510	13.4758	18.7225	25.187	17.5463	10.3077	13.2074	12.8193	12.4484
AT1G03515	0.945673	2.03223	3.35827	0.916256	2.85757	1.59835	1.07544	1.26594
AT1G03520	22.9798	29.5755	25.8423	18.6916	12.5529	18.0866	20.1753	13.8726
AT1G03530	30.7816	43.412	32.5588	29.3202	21.0236	24.8165	31.5319	22.4704
AT1G03540	16.6438	25.7272	26.3338	16.1261	10.6138	18.9699	19.2289	13.7671
AT1G03545	16.6911	24.3436	14.0064	15.6222	10.3587	16.7406	15.6154	11.4989
AT1G03550	19.4809	27.0244	16.9142	17.7754	13.3183	20.5262	17.9814	13.1869
