ID	ATX1-TAG-rep2	ATX2-TAG-rep2	ATX3-TAG-rep2	ATX4-TAG-rep2	ATX5-TAG-rep2	ATXR3-TAG-rep2	ATXR7-TAG-rep2	WT-rep2	
AT1G03280	5.39033	5.36164	5.36504	5.86404	3.21477	2.35547	3.35538	2.90111	
AT1G03290	3.12072	6.26966	8.06804	4.39803	5.76618	5.17361	1.84976	3.21759	
AT1G03300	4.35009	6.65881	11.0168	4.21478	7.8073	9.00125	3.69952	2.32089	
AT1G03310	3.4517	7.56683	11.7949	3.98572	4.38842	4.29031	2.79615	2.53188	
AT1G03320	3.54627	4.45362	3.27636	4.21478	3.98019	4.08001	3.09727	3.48133	
AT1G03330	4.20824	6.05347	8.02709	4.21478	4.79664	2.9864	2.45201	3.32309	
AT1G03340	3.30985	6.35614	4.21832	3.71084	6.02132	2.60784	2.71011	3.74507	
AT1G03350	5.57947	8.56133	19.2077	2.61133	5.46001	7.69733	3.52745	4.37803	
AT1G03360	7.32896	7.69655	18.1019	3.11527	3.72505	6.47753	2.58106	3.42858	
AT1G03365	4.25553	7.65331	19.6582	3.89409	5.2559	3.74351	4.43082	3.63957	
AT1G03370	2.74245	5.36164	12.6549	3.75665	4.08225	4.12207	3.05425	3.05935	
AT1G03380	3.92454	3.67532	13.3512	4.44384	3.67402	3.95382	3.05425	3.32309	
AT1G03390	3.49899	6.83177	6.63463	5.03941	3.82711	5.46805	5.63531	3.27034	
AT1G03400	2.83702	5.05897	8.06804	3.61921	3.31683	5.08949	4.04366	5.22199	
AT1G03410	4.06639	4.75629	8.27281	4.21478	4.8987	8.66475	2.45201	2.90111	
AT1G03420	2.69517	4.5401	4.83263	2.84039	6.37851	5.21568	3.09727	3.48133	
AT1G03430	4.96478	5.36164	9.41954	3.75665	6.37851	6.39341	1.72071	2.58462	
AT1G03440	2.12776	3.71856	4.91454	3.48177	6.58263	3.32289	2.62408	3.53408	
AT1G03445	6.14687	5.14545	8.06804	4.58128	6.68468	3.99588	5.37721	3.85056	
AT1G03457	0.898389	3.15645	5.36504	2.01576	3.82711	2.77609	2.58106	2.47913	
AT1G03470	4.87021	5.18868	8.80522	4.30641	4.8987	3.61732	2.53804	3.58682	
AT1G03475	2.8843	6.3129	11.4263	5.68079	5.30692	6.30929	3.48443	3.05935	
AT1G03490	4.11368	5.57784	5.44695	4.21478	3.52094	3.44908	5.63531	5.1165	
AT1G03495	3.68812	3.37264	3.604	2.93202	3.36786	2.1031	3.09727	3.48133	
AT1G03510	2.69517	7.95598	16.2999	5.95567	6.83777	4.87918	2.9252	4.27254	
AT1G03520	2.8843	6.57233	7.208	5.90985	3.67402	4.03794	4.04366	3.1121	
AT1G03530	3.54627	5.01573	8.6414	4.35222	4.33739	3.70145	3.22632	2.42638	
AT1G03540	2.50603	6.65881	12.4502	4.85616	3.72505	4.24825	4.12969	2.53188	
AT1G03545	4.25553	6.0967	3.52209	4.94778	3.06169	5.38392	3.91461	4.69452	
AT1G03550	6.09959	5.14545	5.406	5.26847	4.33739	4.62681	3.44141	1.84616	
AT1G03560	4.44466	5.83727	14.0064	5.7266	4.28636	5.21568	4.90401	3.90331	
AT1G03580	2.69517	6.3129	6.34795	4.58128	2.55141	5.88867	3.91461	2.1099	
AT1G03590	3.35714	4.71305	3.48113	2.47389	5.20487	2.90227	2.06485	4.1143	
AT1G03600	3.54627	4.23743	3.80877	1.51182	2.24524	2.43959	4.30177	2.53188	
